SECUENCIAL;PAN;EMB1;NOMBRE;COLEC;REV1;REV2;REV3;REV4;ANV1;ANV2;NTARJETA;PISTA1;PISTA2;PRECEP;DIRECCION;CPOSTAL;POBLACION;PROVINCIA;BENEF;BEN_TARJ;COD_BARRAS;CENT_COD;CENT_DES;F_EFECTO;ASESOR;DIR_ASESOR;TEL_ASESOR;POLIZA;CERTIFICA;EMPRESA;CPF;IND1;IND2;ARCHIVO;MODELO;TOPPER;LOGO;ULTRAANV;ULTRAREV;CARRIER;SOBRE;TARJETA;FOLLETO;VC_PROD;DMX;EMB0;PLATAFORMA;CIP_M
000001;0322 3367 9000 0344;78   M          AD   04/26;NOMBRE Y APELLIDOS;ADESLAS GO;;;;;;;032233679;B80344600000000322336700=NOMBRE Y APELLIDOS            =778080122604;803446000000003223367009=778801202604;NOMBRE Y APELLIDOS;CALL POETA MIGUEL HERNANDEZ 30 4;03360;CALLOSA DE SEGURA;ALICANTE;;;120313129131601-TS_TAR2604150.TXT;;;el dia: 01/04/2026;;;;31291316;0;;1;1;L;TS_TAR2604150.TXT;ADESLAS AZUL;PLATA;N/A;NEGRO;NEGRO;S.OS.003.14;S.EA.102/01;AD33;;                                                  ; ; ; ;
000002;0322 3370 2000 0343;58   M          AD   04/26;NOMBRE Y APELLIDOS;ADESLAS GO;;;;;;;032233702;B80344600000000322337000=NOMBRE Y APELLIDOS            =778080122604;803446000000003223370002=778801202604;NOMBRE Y APELLIDOS;CL JOSE VALERO URIOS 5;03369;RAFAL;ALICANTE;NOMBRE Y APELLIDOS          ;03223371;120313129132201-TS_TAR2604150.TXT;;;el dia: 01/04/2026;;;;31291322;0;;2;1; ;TS_TAR2604150.TXT;ADESLAS AZUL;PLATA;N/A;NEGRO;NEGRO;S.OS.003.14;S.EA.102/01;AD33;;                                                  ; ; ; ;
000003;0322 3371 0000 0346;58   H          AD   04/26;NOMBRE Y APELLIDOS;ADESLAS GO;;;;;;;032233710;B80344600000000322337100=NOMBRE Y APELLIDOS            =778080122604;803446000000003223371000=778801202604;NOMBRE Y APELLIDOS;CL JOSE VALERO URIOS 5;03369;RAFAL;ALICANTE;;;120313129132201-TS_TAR2604150.TXT;;;el dia: 01/04/2026;;;;31291322;0;;2;2;L;TS_TAR2604150.TXT;ADESLAS AZUL;PLATA;N/A;NEGRO;NEGRO;S.OS.003.14;S.EA.102/01;AD33;;                                                  ; ; ; ;
000004;0322 3368 7000 0347;03   H          AD   05/26;NOMBRE Y APELLIDOS;ADESLAS GO;;;;;;;032233687;B80344600000000322336800=NOMBRE Y APELLIDOS            =778080122605;803446000000003223368007=778801202605;NOMBRE Y APELLIDOS;CALL PABLO IGLESIAS 28 1 B;03600;ELDA;ALICANTE;;;120313129131701-TS_TAR2604150.TXT;;;el dia: 01/05/2026;;;;31291317;0;;1;1;L;TS_TAR2604150.TXT;ADESLAS AZUL;PLATA;N/A;NEGRO;NEGRO;S.OS.003.14;S.EA.102/01;AD33;;                                                  ; ; ; ;
000005;0322 3372 8000 0349;94   H          AD   05/26;NOMBRE Y APELLIDOS;ADESLAS GO;;;;;;;032233728;B80344600000000322337200=NOMBRE Y APELLIDOS            =778080122605;803446000000003223372008=778801202605;NOMBRE Y APELLIDOS;CL ORTEGA Y GASSET 34;03610;PETRER;ALICANTE;;;120313129132301-TS_TAR2604150.TXT;;;el dia: 01/05/2026;;;;31291323;0;;1;1;L;TS_TAR2604150.TXT;ADESLAS AZUL;PLATA;N/A;NEGRO;NEGRO;S.OS.003.14;S.EA.102/01;AD33;;                                                  ; ; ; ;
000006;0322 3376 0000 0341;63   H          AD   06/26;NOMBRE Y APELLIDOS;ADESLAS GO;;;;;;;032233760;B80344600000000322337600=NOMBRE Y APELLIDOS            =778080122606;803446000000003223376000=778801202606;NOMBRE Y APELLIDOS;AV GANDIA 44-PLT 3 PTA C;03830;MURO DEL ALCOY;ALICANTE;;;120313129132601-TS_TAR2604150.TXT;;;el dia: 01/06/2026;;;;31291326;0;;1;1;L;TS_TAR2604150.TXT;ADESLAS AZUL;PLATA;N/A;NEGRO;NEGRO;S.OS.003.14;S.EA.102/01;AD33;;                                                  ; ; ; ;
000007;0509 4716 1000 0506;84   M          AD   04/26;NOMBRE Y APELLIDOS;ADESLAS GO;;;;;;;050947161;B80344600000000509471600=NOMBRE Y APELLIDOS            =778080122604;803446000000005094716001=778801202604;NOMBRE Y APELLIDOS;CL RINCON 9 CS;05165;TIÑOSILLOS;AVILA;;;120515101181101-TS_TAR2604150.TXT;;;el dia: 01/04/2026;;;;51011811;0;;1;1;L;TS_TAR2604150.TXT;ADESLAS AZUL;PLATA;N/A;NEGRO;NEGRO;S.OS.003.14;S.EA.102/01;AD33;;                                                  ; ; ; ;
000008;0612 2666 1000 0688;90   M          AD   04/26;NOMBRE Y APELLIDOS;ADESLAS GO;;;;;;;061226661;B80344600000000612266600=NOMBRE Y APELLIDOS            =778080122604;803446000000006122666001=778801202604;NOMBRE Y APELLIDOS;CL TRIANA 12;06960;CASAS DE REINA;BADAJOZ;;;120616102651601-TS_TAR2604150.TXT;;;el dia: 01/04/2026;;;;61026516;0;;1;1;L;TS_TAR2604150.TXT;ADESLAS AZUL;PLATA;N/A;NEGRO;NEGRO;S.OS.003.14;S.EA.102/01;AD33;;                                                  ; ; ; ;
000009;0721 1737 0000 0767;01   M          AD   04/26;NOMBRE Y APELLIDOS;ADESLAS GO;;;;;;;072117370;B80344600000000721173700=NOMBRE Y APELLIDOS            =778080122604;803446000000007211737000=778801202604;NOMBRE Y APELLIDOS;CL VIDA CALO 6 CASA;07004;PALMA;BALEARES;NOMBRE Y APELLIDOS          ;07211738;120717108189601-TS_TAR2604150.TXT;;;el dia: 01/04/2026;;;;71081896;0;;2;1; ;TS_TAR2604150.TXT;ADESLAS AZUL;PLATA;N/A;NEGRO;NEGRO;S.OS.003.14;S.EA.102/01;AD33;;                                                  ; ; ; ;
000010;0721 1738 8000 0760;92   H          AD   04/26;NOMBRE Y APELLIDOS;ADESLAS GO;;;;;;;072117388;B80344600000000721173800=NOMBRE Y APELLIDOS            =778080122604;803446000000007211738008=778801202604;NOMBRE Y APELLIDOS;CL VIDA CALO 6 CASA;07004;PALMA;BALEARES;;;120717108189601-TS_TAR2604150.TXT;;;el dia: 01/04/2026;;;;71081896;0;;2;2;L;TS_TAR2604150.TXT;ADESLAS AZUL;PLATA;N/A;NEGRO;NEGRO;S.OS.003.14;S.EA.102/01;AD33;;                                                  ; ; ; ;
